state,cx,cy,area,x,y,width,height,aspectratio,extent,solidity,angle,w,h
"",2466,3982,2.1066471877282686,2423,3965,2.2432432432432434,1.135135135135135,1.9761904761904765,0.8273092369477911,0.9873331051009928,94.25987243652344,,
"",863,3966,0.0138787436084733,861,3965,0.2162162162162162,0.1891891891891892,1.1428571428571428,0.3392857142857142,0.8837209302325582,58.3710823059082,,
"",3800,3943,6.634769905040176,3654,3928,7.945945945945946,0.8648648648648649,9.187499999999998,0.9654549319727892,1.0,0.0,,
"",3412,3943,10.68809349890431,3176,3928,12.783783783783784,0.8648648648648649,14.78125,0.9667019027484144,1.0,0.0,,
"",3073,3944,4.393718042366691,2957,3928,5.8108108108108105,0.8648648648648649,6.718749999999999,0.8742732558139535,0.9465732945156976,85.56704711914062,,
1,2970,3931,0.1460920379839298,2958,3928,0.8378378378378378,0.2702702702702703,3.1,0.6451612903225805,0.97323600973236,62.01582336425781,,
"",2850,3944,4.578524470416363,2730,3928,6.027027027027027,0.8648648648648649,6.96875,0.8783632286995515,0.94840369193524,85.08379364013672,,
1,2742,3931,0.14572680788897,2730,3928,0.8648648648648649,0.2702702702702703,3.2,0.6234374999999999,0.9684466019417476,57.58553695678711,,
"",2668,3943,2.5569758948137324,2612,3928,3.081081081081081,0.8648648648648649,3.5625,0.959566885964912,0.9997144081108096,113.08807373046876,,
"",2558,3943,2.1738495252008767,2510,3928,2.621621621621621,0.8648648648648649,3.03125,0.9587628865979382,1.0,0.0,,
"",2464,3943,1.8568298027757488,2423,3928,2.2432432432432434,0.8648648648648649,2.59375,0.957078313253012,1.0,0.0,,
"",2014,3943,18.27392257121987,1611,3928,21.83783783783784,0.8648648648648649,25.25,0.967551051980198,1.0,0.0,,
"",1532,3944,3.256391526661797,1444,3928,4.405405405405405,0.8648648648648649,5.093749999999999,0.8546779141104295,0.9345911949685536,83.78179931640625,,
"",1366,3943,3.29218407596786,1283,3928,4.243243243243243,0.8648648648648649,4.906249999999999,0.8970939490445861,0.9598551804919604,0.0,,
"",1255,3929,0.0138787436084733,1253,3928,0.2162162162162162,0.1891891891891892,1.1428571428571428,0.3392857142857142,0.8837209302325582,58.3710823059082,,
"",1178,3942,3.048575602629657,1093,3928,4.216216216216216,0.8648648648648649,4.874999999999999,0.8360376602564104,0.896659147061983,94.614990234375,,
"",974,3943,5.117604090577063,861,3928,6.135135135135135,0.8648648648648649,7.093749999999999,0.9644823788546254,1.0,0.0,,
"",794,3943,2.739956172388605,734,3928,3.2972972972972974,0.8648648648648649,3.8125,0.9608094262295084,1.0,0.0,,
